time,close,high,low,open,volumefrom,volumeto,weighted_price
1536969600,6522.08,6573.19,6473.47,6485.39,31894.67,208349557,6513.5325
1537056000,6502.44,6525.05,6404.31,6522.68,30897.54,200545603.1,6488.62
1537142400,6261.48,6538.82,6216.83,6502.44,62738.57,399675966.3,6379.8925
1537228800,6346.44,6393.39,6238.25,6261.33,55076.95,348485895.4,6309.8525
1537315200,6398.8,6522.9,6131.02,6346.44,71293.01,452379323.1,6349.79
1537401600,6505.9,6551.93,6361.33,6398.83,46802.06,301619960.9,6454.4975
1537488000,6762.06,6785.22,6501.01,6505.97,85295.46,569642976.3,6638.565
1537574400,6716.6,6834.49,6633.01,6762.07,38829.87,261159308.2,6736.5425
1537660800,6702.7,6768.56,6663.9,6716.6,25143.83,169080003.4,6712.94
1537747200,6583.53,6717.6,6557.82,6702.73,48934.13,324660682.7,6640.42
1537833600,6437.74,6583.54,6333.21,6583.53,65381.85,420279170.4,6484.505
1537920000,6462.6,6543.92,6383.16,6437.74,40752.6,264402806.7,6456.855
1538006400,6686.13,6733.94,6434.76,6462.6,52542,345096700.1,6579.3575
1538092800,6635.38,6806.1,6545.41,6686.13,74353.41,497340510.1,6668.255
1538179200,6603.75,6635.42,6474.23,6635.4,37296.34,245055396.5,6587.2
1538265600,6623.71,6741.96,6543.68,6603.75,26335.14,174302164.1,6628.275
1538352000,6594.98,6662.6,6510.54,6623.82,38926.98,256959931.6,6597.985
1538438400,6525.47,6618.95,6478.04,6594.98,40624.2,267166277.8,6554.36
1538524800,6492.26,6537.07,6428.98,6525.46,47186,306385346.6,6495.9425
1538611200,6579.79,6622.32,6486.86,6492.61,42142.96,277614018.5,6545.395
1538697600,6632.87,6683.55,6546.98,6580,39731.28,262562345,6610.85
1538784000,6589.94,6637.08,6563.25,6632.88,24787.61,162722104,6605.7875
1538870400,6601.15,6622.49,6535.02,6589.94,27272.67,179378859.4,6587.15
1538956800,6650.07,6698.31,6565.01,6601.46,47216.82,313507433.8,6628.7125
1539043200,6631.79,6657,6589.39,6650.07,32204.25,213976678.2,6632.0625
1539129600,6581.07,6633.22,6487.86,6631.79,49264.39,323664963.2,6583.485
1539216000,6209.47,6581.59,6171.95,6581.07,104258.49,654924117.8,6386.02
1539302400,6250.85,6296.56,6173.86,6209.47,46195.91,289840137.5,6232.685
1539388800,6267.27,6280.73,6238.92,6252.1,21914.85,137705035.6,6259.755
1539475200,6277.73,6346.56,6247.17,6267.27,34130.1,215422888.2,6284.6825
1539561600,6612.36,7234.83,6244.77,6277.73,177320.05,1190524168,6592.4225
1539648000,6583.05,6724.91,6545.54,6612.69,49191.34,324232509.8,6616.5475
1539734400,6574.52,6589.2,6511.6,6583.05,33538.55,220418636.6,6564.5925
1539820800,6488.72,6616.27,6445.05,6576.4,50725.31,331761115.5,6531.61
1539907200,6469.28,6503.09,6449.36,6489.37,36599.64,237855085.4,6477.775
1539993600,6490.56,6645.2,6395.45,6469.28,19543.75,127185847.8,6500.1225
1540080000,6509.87,6557.39,6474.47,6490.6,16019.49,105283929.1,6508.0825
1540166400,6483.23,6531.23,6460.38,6509.87,31239.03,202766914.4,6496.1775
1540252800,6470.22,6496.2,6438.99,6484.32,34071.62,220913293.6,6472.4325
1540339200,6476.25,6538.35,6465.73,6470.63,34111.66,222068131.8,6487.74
1540425600,6462.77,6497.9,6432.3,6476.52,35706.92,231214964,6467.3725
1540512000,6457.21,6514,6441.81,6462.77,33284.54,215447656.4,6468.9475
1540598400,6470.17,6479,6445.95,6457.21,19092.86,124066466.3,6463.0825
1540684800,6470.74,6483.24,6444.74,6470.17,16806.73,109118161,6467.2225
1540771200,6313.91,6483.39,6282.58,6470.74,53760.53,342463526.5,6387.655
1540857600,6309.11,6340.68,6286.3,6314.38,42701.22,269592154.1,6312.6175
1540944000,6342.61,6391.25,6241.49,6309.11,38823.41,245357244.5,6321.115
1541030400,6381.3,6402.59,6322.6,6342.81,31397.71,199861220.5,6362.325
1541116800,6394.66,6420.93,6371.57,6381.3,27987.6,179385606.7,6392.115
1541203200,6376.32,6398.09,6336.96,6394.65,28808.38,183565304.3,6376.505
1541289600,6467.05,6498.16,6351.92,6376.55,27317.02,175805188.9,6423.42
1541376000,6433.74,6475.8,6406.69,6467.05,24142,155758902.3,6445.82
1541462400,6479.72,6482.81,6412.56,6433.53,37162.36,239808254.3,6452.155
1541548800,6529.68,6562.79,6476.59,6479.72,55100.44,360052788.6,6512.195
1541635200,6446.06,6542.42,6438.27,6530.94,42073.45,273205386.7,6489.4225
1541721600,6377.99,6457.97,6352.45,6446.06,37086.04,237893036.7,6408.6175
1541808000,6396.37,6419.92,6376.17,6377.99,14658.42,94313328.59,6392.6125
1541894400,6408.18,6414.18,6326.38,6396.39,20337.03,130156001.6,6386.2825
1541980800,6375.08,6435.41,6350.87,6408.18,28338.62,181575610.9,6392.385
1542067200,6339.17,6389.43,6315.58,6375.08,35761.27,227689745.7,6354.815
1542153600,5741.47,6375.7,5469.93,6339.17,178422.8,1045469380,5981.5675
1542240000,5647.5,5767.06,5300.75,5740.51,147895.07,820864014,5613.955
1542326400,5586.27,5676.54,5487.87,5647.5,71050.83,397196182.8,5599.545
1542412800,5568.94,5602.01,5524.7,5586.97,29517.8,164182152.2,5570.655
1542499200,5615.26,5701.35,5567.95,5567.95,41702.04,233409182.5,5613.1275
1542585600,4809.62,5615.98,4757.01,5615.26,207964.38,1072037780,5199.4675
1542672000,4441.81,4953.56,4168.25,4809.62,315023.21,1433400842,4593.31
