Timestamp,High,Low,Open,volumefrom,volumeto,Close,conversionType,conversionSymbol,Date
1567641600,10659.6,10475.88,10585.2,23957.29,253210793.6,10556.16,direct,,9/5/2019
1567728000,10938.39,10228.17,10556.16,54409.77,577987384.8,10309.91,direct,,9/6/2019
1567814400,10574.99,10304.22,10309.91,18864.32,197436363.3,10491.96,direct,,9/7/2019
1567900800,10595.71,10286.85,10491.96,18990.22,198370974.8,10420.88,direct,,9/8/2019
1567987200,10514.59,10101.87,10420.88,33044.44,340516851.6,10314.88,direct,,9/9/2019
1568073600,10395.1,9966.94,10314.88,26197.16,266382298,10109.46,direct,,9/10/2019
1568160000,10251.97,9874.13,10109.46,28189.47,283998084.3,10165.01,direct,,9/11/2019
1568246400,10472.07,10057.09,10165.01,26821.06,275877681.6,10428.96,direct,,9/12/2019
1568332800,10591.45,9855.34,10428.96,24372.25,251594742.2,10372.29,direct,,9/13/2019
1568419200,10455.38,10251.96,10372.29,15570.76,161565882,10365.56,direct,,9/14/2019
1568505600,10401.53,10279.58,10365.56,11651.76,120645589.3,10313.02,direct,,9/15/2019
1568592000,10411.06,10103.87,10313.02,27381.87,280632568,10271.79,direct,,9/16/2019
1568678400,10297.99,10152.47,10271.79,21680.68,221966422.1,10198.62,direct,,9/17/2019
1568764800,10272.19,10100.9,10198.62,21739.97,221697128.6,10163.38,direct,,9/18/2019
1568851200,10368.46,9641.11,10163.38,45685.81,456963432.6,10281.03,direct,,9/19/2019
1568937600,10321.18,10065.55,10281.03,20930.03,213229233.6,10176.38,direct,,9/20/2019
1569024000,10187.64,9944.61,10176.38,17868.39,179453539.4,9988.38,direct,,9/21/2019
1569110400,10096.66,9871.97,9988.38,17799.44,178007946.6,10036.98,direct,,9/22/2019
1569196800,10073.79,9636.2,10036.98,33287.92,327752087.2,9694.6,direct,,9/23/2019
1569283200,9787.58,8107.01,9694.6,121811.28,1084866144,8542.54,direct,,9/24/2019
1569369600,8752.2,8246.24,8542.54,74724.79,631898763.6,8446.97,direct,,9/25/2019
1569456000,8471.02,7753.71,8446.97,80375.17,652614929.7,8074.99,direct,,9/26/2019
1569542400,8304.22,7888.5,8074.99,48376.65,390323710.9,8201.36,direct,,9/27/2019
1569628800,8345.03,8044.45,8201.36,29802.19,244186983.2,8223.65,direct,,9/28/2019
1569715200,8265.99,7943.33,8223.65,28053.51,226712656.2,8065.26,direct,,9/29/2019
1569801600,8372.24,7736.96,8065.26,50440.1,407250929.4,8314.62,direct,,9/30/2019
1569888000,8537.6,8212.01,8314.62,42368,355446344.4,8326.64,direct,,10/1/2019
1569974400,8403.51,8186.3,8326.64,24785.21,205325219.2,8391.52,direct,,10/2/2019
1570060800,8434.63,8105.02,8391.52,30435.91,250685863.9,8246.3,direct,,10/3/2019
1570147200,8267.11,8021.3,8246.3,26268.19,214500278.9,8168.05,direct,,10/4/2019
1570233600,8232.25,8052.51,8168.05,17371.63,141685742.4,8172.48,direct,,10/5/2019
1570320000,8221.03,7822.65,8172.48,30026.91,239636660,7868.31,direct,,10/6/2019
1570406400,8326.01,7798.09,7868.31,39653.14,321239400.7,8215.11,direct,,10/7/2019
1570492800,8354.19,8126.71,8215.11,21060.16,173334218.1,8191.87,direct,,10/8/2019
1570579200,8697.56,8132.74,8191.87,47097.59,398201725.3,8593.16,direct,,10/9/2019
1570665600,8672.58,8466.13,8593.16,29187.08,250267419.9,8596.57,direct,,10/10/2019
1570752000,8834.11,8259.77,8596.57,38612.05,326882172.4,8278.05,direct,,10/11/2019
1570838400,8439.44,8272.12,8278.05,11037.58,92609964.73,8316.66,direct,,10/12/2019
1570924800,8498.59,8194.16,8316.66,20190.99,168896951.2,8296.34,direct,,10/13/2019
1571011200,8414.24,8228.06,8296.34,17507.78,146015532.9,8363.94,direct,,10/14/2019
1571097600,8439.31,8116.92,8363.94,24899.11,205674618.3,8173.48,direct,,10/15/2019
1571184000,8193.41,7945.77,8173.48,34102.92,274670310.1,8014.39,direct,,10/16/2019
1571270400,8145.5,7948.95,8014.39,21657.02,175172893.7,8082.46,direct,,10/17/2019
1571356800,8157.36,7850.66,8082.46,27732.54,221065928.4,7972.62,direct,,10/18/2019
1571443200,8108.69,7919.05,7972.62,17875.39,143202359.4,7973.63,direct,,10/19/2019
1571529600,8326.13,7911.49,7973.63,25287.68,205394286.1,8247.25,direct,,10/20/2019
1571616000,8359.52,8177.11,8247.25,22831.65,188511539.9,8223.25,direct,,10/21/2019
1571702400,8318.41,8021.36,8223.25,24453.79,200593851.4,8034.5,direct,,10/22/2019
1571788800,8071.8,7336.06,8034.5,60122.39,457672451.4,7479.54,direct,,10/23/2019
1571875200,7524.31,7370.13,7479.54,28580.18,213663114.8,7444.2,direct,,10/24/2019
1571961600,8783.85,7431.2,7444.2,79777.72,656574822.4,8671.1,direct,,10/25/2019
1572048000,10380.48,8654.84,8671.1,154648.62,1457875080,9258.98,direct,,10/26/2019
